event_slug,timestamp_ms,timestamp_iso,timestamp_est,event_type,price,size,size_change,side,best_bid,best_ask,is_winning_token,outcome,time_since_ticker_change_ms,ticker_changed_recently,old_tick_size,new_tick_size,market_resolved,error_message,raw_slug,condition_id,token_id
btc-5min-up-or-down-2026-02-24-17:30,1771972367997,2026-02-24 22:32:47,2026-02-24 17:32:47,market_open,,,,,,,false,Up,,false,,,false,,btc-updown-5m-1771972200,0x2730dddaf7b38da6dc830ee83bece8ddb1e7f8e31b47e5c211248ab8ad481126,47665546614949153684163745066813700530532013693077739381831691801950318377642
btc-5min-up-or-down-2026-02-24-17:30,1771972367997,2026-02-24 22:32:47,2026-02-24 17:32:47,market_open,,,,,,,false,Down,,false,,,false,,btc-updown-5m-1771972200,0x2730dddaf7b38da6dc830ee83bece8ddb1e7f8e31b47e5c211248ab8ad481126,77650804887744954942655408644757302133132275258181602233623266535751883662144
eth-5min-up-or-down-2026-02-24-17:30,1771972368160,2026-02-24 22:32:48,2026-02-24 17:32:48,market_open,,,,,,,false,Up,,false,,,false,,eth-updown-5m-1771972200,0x80dffac6ae6527779a98fe2dfa3b4357620b44c2c037f96c34b31c8ff491faa0,102239242140418732567740449319479711565941999742250601000287411455733045404519
eth-5min-up-or-down-2026-02-24-17:30,1771972368160,2026-02-24 22:32:48,2026-02-24 17:32:48,market_open,,,,,,,false,Down,,false,,,false,,eth-updown-5m-1771972200,0x80dffac6ae6527779a98fe2dfa3b4357620b44c2c037f96c34b31c8ff491faa0,43504813592491381910684639061407731796900724084438308707046610771583901885939
sol-5min-up-or-down-2026-02-24-17:30,1771972368308,2026-02-24 22:32:48,2026-02-24 17:32:48,market_open,,,,,,,false,Up,,false,,,false,,sol-updown-5m-1771972200,0x093002b455875a0b1907c3c0c4374620b5ef84302f57754d159b39289f220ce5,112780175542875367320327305796051739859992444468407965081406871718636309515328
sol-5min-up-or-down-2026-02-24-17:30,1771972368308,2026-02-24 22:32:48,2026-02-24 17:32:48,market_open,,,,,,,false,Down,,false,,,false,,sol-updown-5m-1771972200,0x093002b455875a0b1907c3c0c4374620b5ef84302f57754d159b39289f220ce5,57946398475715334289746281793115051286409777313093265101156385996363586288750
btc-5min-up-or-down-2026-02-24-17:35,1771972368476,2026-02-24 22:32:48,2026-02-24 17:32:48,market_open,,,,,,,false,Up,,false,,,false,,btc-updown-5m-1771972500,0x3bb86ae8d69a4b2d6fd7e26dddd56ae07bc40100776e8a4dcbe58738d3b5a259,10956110630202518764122036868371409943423357987068341411540249855612702100293
btc-5min-up-or-down-2026-02-24-17:35,1771972368477,2026-02-24 22:32:48,2026-02-24 17:32:48,market_open,,,,,,,false,Down,,false,,,false,,btc-updown-5m-1771972500,0x3bb86ae8d69a4b2d6fd7e26dddd56ae07bc40100776e8a4dcbe58738d3b5a259,41489208541434282854717258500976065470360275402527294137870680100582089358156
eth-5min-up-or-down-2026-02-24-17:35,1771972368635,2026-02-24 22:32:48,2026-02-24 17:32:48,market_open,,,,,,,false,Up,,false,,,false,,eth-updown-5m-1771972500,0xc2811e38b44f03996d60e6dadc025c96850a52bd9271e49e499d28fcfadeaadd,36200594155351007058130559532135103837649781521477603028381904733195911060145
eth-5min-up-or-down-2026-02-24-17:35,1771972368635,2026-02-24 22:32:48,2026-02-24 17:32:48,market_open,,,,,,,false,Down,,false,,,false,,eth-updown-5m-1771972500,0xc2811e38b44f03996d60e6dadc025c96850a52bd9271e49e499d28fcfadeaadd,108921246227468143952170753836637610111208466428651304868274530484667928715665
